id,milestone
1242715,TableSort
1242715,TestSend
1242715,TxtBIUS
1242715,TxtFontSizeColor
1242715,TxtIndentJustify
1242715,TxtMergeTags
1242715,TxtStylesFormats
1242715,TxtViewSource
1242715,UploadImage
1249515,ImportProjEmail
1249515,ManageFilters
1249515,ManageTab
1249515,OpenReport
1249515,OpensAndBounces
1249515,ProjPreview
1249515,ReEditProj
1249515,ReportsTab
1249515,ReSchedProj
1249515,SendNow
1249515,SocialAutoPost
1249515,TxtBIUS
1261057,AddImage
1261057,CopyProj
1261057,ImageProperties
1261057,InsertLinkAnchor
1261057,InsertTableImage
1261057,LinkActivity
1261057,Location
1261057,ManageTab
1261057,OpenData
1261057,OpenReport
1261057,OpenReportList
1261057,OpensAndBounces
1261057,OpensByPlatform
1261057,ProjPreview
1261057,ReEditProj
1261057,ReportsFilters
1261057,ReportsTab
1261057,ReSchedProj
1261057,SEBackColors
1261057,SEBorders
1261057,SEDeleteElement
1261057,SEDragIn
1261057,SEDragMove
1261057,SendNow
1261057,SimpleProjCreate
1261057,UnopenedData
1261057,UploadImage
1261057,UseBlankTemplate
1261057,UserAgent
1264640,AdvProjCreate
1264640,ManageTab
1264640,OpenReport
1264640,OpensAndBounces
1264640,ProjPreview
1264640,ReEditProj
1264640,ReportsFilters
1264640,ReportsTab
1264640,ReSchedProj
1264640,SendLater
1264640,SendNow
1264640,SocialAutoPost
1264640,TestSend
1264640,TxtViewSource
5005025,ManageTab
5005025,ProjPreview
5005025,ReEditProj
5005025,ReportsFilters
5005025,ReportsTab
5005025,SendNow
5005025,TxtBIUS
5005025,TxtFontSizeColor
5005025,TxtIndentJustify
5005025,TxtStylesFormats
5009213,AddImage
5009213,CaptionedImages
5009213,ImageProperties
5009213,InsertLinkAnchor
5009213,InsertList
5009213,InsertTableImage
5009213,LinkActivity
5009213,ManageTab
5009213,MobileFriendly
5009213,MultiImageElemen
5009213,MultiImageProper
5009213,OpenData
5009213,OpenReport
5009213,OpenReportList
5009213,OpensAndBounces
5009213,OpensByPlatform
5009213,PrevTextVersion
5009213,ProjPreview
5009213,ReEditProj
5009213,ReportsFilters
5009213,ReportsTab
5009213,ReSchedProj
5009213,SEBorders
5009213,SEDeleteElement
5009213,SEDragIn
5009213,SEDragMove
5009213,SEDragResize
5009213,SELinkElements
5009213,SendLater
5009213,SendNow
5009213,SEPadding
5009213,SimpleProjCreate
5009213,SocialShareEleme
5009213,SpellSearch
5009213,TableSearch
5009213,TableSort
5009213,TestSend
5009213,ToggleSocialSite
5009213,TxtBIUS
5009213,TxtFontSizeColor
5009213,TxtIndentJustify
5009213,TxtStylesFormats
5009213,TxtViewSource
5009213,UnopenedData
5009213,UploadImage
5009213,UseBlankTemplate
5019412,UseBlankTemplate
5024525,CopyProj
5024525,DeleteProj
5024525,InsertLinkAnchor
5024525,InsertTableImage
5024525,ManageTab
5024525,PublishTemplate
5024525,ReEditProj
5024525,ReportsTab
5024525,ReSchedProj
5024525,SendNow
5024525,SimpleProjCreate
5024525,SocialAutoPost
5024525,TestSend
5024525,TxtBIUS
5024525,TxtFontSizeColor
5035780,AdvProjCreate
5035780,CompareReports
5035780,LinkActivity
5035780,ManageTab
5035780,OpenData
5035780,OpenReport
5035780,OpensByPlatform
5035780,ProjPreview
5035780,ReportsFilters
5035780,ReportsTab
5035780,ReSchedProj
5035780,SendLater
5035780,SendNow
5035780,TxtViewSource
5035780,UnopenedData
5035780,UserAgent
5035780,UseReportCharts
5042681,CopyProj
5042681,DeleteProj
5042681,InsertLinkAnchor
5042681,InsertTableImage
5042681,LinkActivity
5042681,Location
5042681,ManageTab
5042681,OpenData
5042681,OpenReport
5042681,OpensAndBounces
5042681,OpensByPlatform
5042681,ProjPreview
5042681,ReEditProj
5042681,ReportsTab
5042681,ReSchedProj
5042681,SEDragMove
5042681,SendNow
5042681,SEPadding
5042681,SimpleProjCreate
5042681,SocialShareEleme
5042681,TxtBIUS
5042681,TxtFontSizeColor
5042681,TxtIndentJustify
5042681,TxtStylesFormats
5042681,UserAgent
5046238,CopyProj
5046238,InsertLinkAnchor
5046238,InsertTableImage
5046238,LinkActivity
5046238,ManageTab
5046238,OpenData
5046238,OpenReport
5046238,OpenReportList
5046238,OpensAndBounces
5046238,ProjPreview
5046238,ReEditProj
5046238,ReportsTab
5046238,ReSchedProj
5046238,SendLater
5046238,SendNow
5046238,TxtBIUS
5046238,TxtFontSizeColor
5046238,TxtIndentJustify
5061699,AutoresponderSum
5061699,CrossMarketerSum
5061699,DeleteProj
5061699,InsertTableImage
5061699,LinkActivity
5061699,Location
5061699,ManageTab
5061699,OpenData
5061699,OpenReport
5061699,OpensAndBounces
5061699,OpensByPlatform
5061699,ProjPreview
5061699,ReportsTab
5061699,ReSchedProj
5061699,SendNow
5061699,SimpleProjCreate
5061699,TxtFontSizeColor
5061699,TxtIndentJustify
5061699,TxtMergeTags
5061699,UnopenedData
5061699,UseBlankTemplate
5061699,UserAgent
5073549,InsertTableImage
5073549,ManageTab
5073549,ProjPreview
5073549,ReEditProj
5073549,ReportsTab
5073549,SendNow
5073549,TxtFontSizeColor
5076512,AddImage
5076512,AdvProjCreate
5076512,CaptionedImages
5076512,ImageProperties
5076512,InsertLinkAnchor
5076512,InsertTableImage
5076512,ManageTab
5076512,MobileFriendly
5076512,MultiImageElemen
5076512,PrevMobileVersio
5076512,PrevTextVersion
5076512,ProjPreview
5076512,ReEditProj
5076512,ReportsTab
5076512,SEBackColors
5076512,SEBorders
5076512,SEDeleteElement
5076512,SEDragIn
5076512,SEDragMove
5076512,SEDragResize
5076512,SELinkElements
5076512,SendLater
5076512,SendNow
5076512,SEPadding
5076512,SimpleProjCreate
5076512,SocialShareEleme
5076512,SpellSearch
5076512,TableSort
5076512,TestSend
5076512,ToggleSocialSite
